nombre, direccion,ruc,representante_dni,telefono
Snap-On Inc,Obcoh Pass 105,10193937868,20362733,993994514
Quintiles Transnational,Foopa Loop 610,20173114113,92813372,4517916
Edison International,Nieza Mill 220,20591232934,99606006,3556625
Tektronix Inc,Migno Drive 193,20428488614,81257061,952799377
UST Inc,Fieb Square 579,10611739211,95539522,972294373
Comfort Systems USA Inc.,Gitgos View 457,10946817793,89719232,983895985
J.C. Penny Co.,Nemli Parkway 354,10124226756,36741205,923224964
Tiffany & Co,Dawsek Square 614,10336286111,05721527,3367893
Liz Claiborne Inc.,Gokuw Mill 707,20142377355,30984708,3358211
Hon Industries Inc.,Uraum Way 389,10947718965,95843255,2461951
"Armstrong Holdings, Inc.",Fajti Way 565,20874979821,68677409,3116484
AK Steel Holding Corporation,Ithe Parkway 335,10749669668,16742674,998966718
Fifth Third Bancorp,Idvu Grove 751,10384533458,91271580,4634734
WESCO International Inc,Ovkim Turnpike 411,20949245194,54406882,998488261
XO Communications Inc,Dutto Parkway 473,10862698164,65934176,4261832
Applera Corporation,Lizgud Parkway 108,20324678877,68512430,2958151
Magellan Health Services Inc.,Gemkid River 712,10322617623,72106731,3592193
TravelCenters of America Inc.,Rivi Grove 333,10251427813,81011732,2794465
"American International Group, Inc.",Egvi Pass 274,20141186135,61569878,5936226
ITT Industries Inc.,Koris Trail 476,10542636167,56995465,2762444
Performance Food Group Co.,Ehguc Manor 268,20489626726,42794553,944883556
The May Department Stores Company,Rifo Pike 475,20294225981,97861544,5452942
Dillard's Inc.,Inili River 692,20675626637,24386478,2763387
Johnson & Johnson,Puata Ridge 100,20873597589,14059738,924341269
Praxair Inc,Wukgek Center 197,10313573988,57981980,966737241
PSS World Medical Inc,Imaru Parkway 418,10877266146,95870669,945337761
AT&T Corp.,Otgef Park 045,10226923289,96995726,5256134
ARAMARK Corporation,Souv Park 315,10176889215,64735861,996722182
Teleflex Incorporated,Holho Pass 039,20312337792,79786277,6594112
Siebel Systems Inc,Hekhe Highway 086,20312728622,76654856,6848788
International Multifoods Corporation,Caub Manor 584,10246129983,69804008,4836847
Convergys Corp.,Juzuh Way 284,20221517986,03063103,995163921
Teleflex Incorporated,Icuk Street 582,10379951534,78171304,915627617
Dun & Bradstreet Inc.,Migji Plaza 581,10326256539,54909367,929146498
Pacific Gas & Electric Corp.,Popsaw Way 562,10769988893,82457579,936791199
"Allergan, Inc.",Venzad Court 450,20973112365,98544035,4363548
Fleetwood Enterprises Inc.,Savu Boulevard 168,10685878984,32785529,5927127
Procter & Gamble Co.,Hemoc Street 091,20363516585,04554962,2519683
Engelhard Corporation,Gahpo Circle 121,20192399423,73889021,983394457
Tower Automotive Inc.,Jahna Parkway 261,10523632214,43883805,918539884
Genuity Inc.,Jimun Drive 300,20838887552,22316492,944389477
Casey's General Stores Inc.,Kampe Street 300,20345396829,31932274,958713686
"Adams Resources & Energy, Inc.",Afoges Junction 386,10629452368,98931778,6493989
BellSouth Corporation,Tedbaw Heights 220,20764631587,26321062,929927432
Calpine Corp.,Jovgu Way 076,20964854457,32453039,994353219
Graybar Electric Company Inc.,Sijba Trail 017,10297619722,77666483,954234311
Limited Inc.,Izneg Court 316,20951773613,59913279,989771958
SCI Systems Onc.,Nodi Circle 946,10869839399,98833229,998856664
"Apple Computer, Inc.",Fuhu Boulevard 767,10344111429,84885394,2622436
Expeditors International of Washington Inc.,Bicji Turnpike 321,10647548645,56832510,4646382
Anixter International Inc.,Ugvif River 066,10729623315,69116927,5676214
Smurfit-Stone Container Corp,Gaela Mill 692,10245887664,29201041,929723276
Intel Corporation,Pajilo Circle 505,20887381926,42842139,4121767
Bank One Corporation,Madod Ridge 597,10695487451,16981772,4786667
Linens 'n Things Inc.,Bazzeg Boulevard 848,20531851465,66721691,2951428
Texas Industries Inc.,Mopah Mill 282,10833452854,50424477,954651997
UnumProvident Corporation,Fivped Turnpike 148,10728866692,59122062,4331939
Coca-Cola Enterprises Inc.,Kuna Pass 078,20333335361,82025773,966333628
Lockheed Martin Corporation,Lalfaw Road 831,20532657438,13643552,6331368
Brown-Forman Corporation,Vulja Avenue 858,20439882279,08634306,947579821
U.S. Bancorp,Woene View 577,10878283965,41334578,945833218
Ruddick Corp,Hizti Court 255,10777322455,45964062,5241722
Comcast Corp.,Feav Lane 444,20636614821,59490672,6994976
Gentek Inc.,Vudu Street 809,10123814681,52127903,4578913
J.C. Penny Co.,Emaju Parkway 612,10644391718,22794153,929654969
Nash Finch Company,Fupiv Trail 757,10536512313,21364201,946996949
DQE Inc.,Ladcet Highway 559,20345522145,41493948,6367318
MGIC Investment Corporation,Suzwem Extension 157,10287396559,24345074,5476591
Marsh Supermarkets Inc.,Wabsi Highway 235,10263923276,38857488,3223885
