ruc,dni_natural,dni_repr,tlf_natural,tlf_repr,tlf_empresa
10193937868,13272697,20362733,2928811,969364799,993994514
20173114113,73839757,92813372,4894439,988843171,4517916
20591232934,78548173,99606006,978437718,912942295,3556625
20428488614,65362043,81257061,6644216,5321237,952799377
10611739211,31789373,95539522,916513476,5396865,972294373
10946817793,71174082,89719232,945193762,999371783,983895985
10124226756,27199765,36741205,917766337,916772589,923224964
10336286111,68084235,05721527,4752784,6292253,3367893
20142377355,17137190,30984708,4758828,6947623,3358211
10947718965,19324963,95843255,976418211,951275363,2461951
20874979821,46635783,68677409,5281814,6533723,3116484
10749669668,56240711,16742674,3514332,6494783,998966718
10384533458,06402026,91271580,955146133,3312127,4634734
20949245194,32531951,54406882,2447483,918267849,998488261
10862698164,50865319,65934176,2986421,3849551,4261832
20324678877,51906328,68512430,2214265,5379132,2958151
10322617623,58297580,72106731,3514814,975197422,3592193
10251427813,76249533,81011732,3912486,969179791,2794465
20141186135,22650844,61569878,3147141,941764245,5936226
10542636167,91217897,56995465,948574844,941191741,2762444
20489626726,75672728,42794553,913323854,6922911,944883556
20294225981,88833465,97861544,3783661,2576288,5452942
20675626637,28911064,24386478,998627747,982887147,2763387
20873597589,64789566,14059738,3476194,4248395,924341269
10313573988,21529117,57981980,5668741,5719247,966737241
10877266146,64674663,95870669,941767214,992424752,945337761
10226923289,24538413,96995726,942539474,6849187,5256134
10176889215,66016081,64735861,4731885,4714987,996722182
20312337792,23056074,79786277,969647468,956134688,6594112
20312728622,07454040,76654856,996384145,986457572,6848788
10246129983,24927141,69804008,941467198,912832539,4836847
20221517986,86231058,03063103,929666912,967955685,995163921
10379951534,60221303,78171304,5581655,3688333,915627617
10326256539,05196976,54909367,964538373,933991487,929146498
10769988893,23145699,82457579,5326992,981429518,936791199
20973112365,20648901,98544035,953782898,2694533,4363548
10685878984,45460306,32785529,991168934,6461777,5927127
20363516585,02062565,04554962,2966159,2536397,2519683
20192399423,50718830,73889021,925857888,3695437,983394457
10523632214,67267410,43883805,979955616,932125145,918539884
20838887552,37254320,22316492,2537167,996863934,944389477
20345396829,44729879,31932274,941898578,958233865,958713686
10629452368,30211472,98931778,2244398,955753837,6493989
20764631587,26730521,26321062,979738255,998879132,929927432
20964854457,56089225,32453039,4462662,6382768,994353219
10297619722,04780924,77666483,2919744,996383167,954234311
20951773613,22485243,59913279,6859441,5696421,989771958
10869839399,82311769,98833229,4846722,968783479,998856664
10344111429,57364817,84885394,949764527,3665553,2622436
10647548645,45163312,56832510,4211416,4455453,4646382
10729623315,97472473,69116927,2313616,2125913,5676214
10245887664,13799912,29201041,5233818,961975951,929723276
20887381926,52717543,42842139,985755991,3842772,4121767
10695487451,80062180,16981772,948317775,3866795,4786667
20531851465,14267208,66721691,919747572,5455655,2951428
10833452854,83372796,50424477,935464831,988485932,954651997
10728866692,71284007,59122062,941169871,4571474,4331939
20333335361,89059926,82025773,981814727,929758983,966333628
20532657438,23763354,13643552,6887271,951395844,6331368
20439882279,40201793,08634306,3222857,946154828,947579821
10878283965,51280577,41334578,4338415,934567673,945833218
10777322455,14886117,45964062,4658773,985943291,5241722
20636614821,78464116,59490672,3622543,946967566,6994976
10123814681,09586787,52127903,6736239,4328612,4578913
10644391718,64549532,22794153,947132872,988792164,929654969
10536512313,37450360,21364201,916821836,919546344,946996949
20345522145,95832851,41493948,5715251,6155141,6367318
10287396559,90949835,24345074,993724897,4738937,5476591
10263923276,28525854,38857488,937361394,3971214,3223885
20752553181,30884235,79233001,3756573,6288684,5372343
20368672758,61955226,78999689,973433571,973366768,931737844
10598173455,59117651,43904381,4717934,932629258,937273114
10636245781,44444515,51555682,949274444,4392789,964994265
10184336687,16208215,63825738,3382687,5886517,942529317
20554495967,06530546,91259529,958742448,955883964,959945258
20765483913,26034581,02100042,962811931,961735953,5399747
10324936338,78398330,31830598,2478391,3653353,942791631
20463169947,81827591,91346827,967639678,3836498,954835745
10292563637,39676797,58840331,947225197,994986963,987863946
20691594835,58127138,83646308,915131551,987592299,2393327
20258216341,77397967,04595889,4597549,5837347,972372923
20264274534,25292223,82905253,913721882,2764734,945436756
20725781387,06529467,47786912,6294565,951496988,5559824
20746182428,98561410,11253594,6941486,934822239,962379951
20561771961,88266335,83716714,4815868,6124648,4175827
20563869717,05057444,59026449,962813152,4221484,921518642
20765488391,94511236,14003990,998714915,982687873,5316654
20291758496,69154409,88326552,981366233,4644449,982524225
20174815339,00254791,93686581,3156568,954158269,6466985
20642299125,74927928,58908293,933364764,962151855,995697553
20466572417,87442389,94624038,4381322,989187785,989149644
20853738518,81255831,49641076,966736534,4765859,2756934
20767664646,45440104,36852459,938715682,934353294,977945546
10256484279,81688363,78685379,6586413,932589216,944929889
20813812372,19721036,01712896,6895468,5656776,983478381
10485333822,52739559,86575471,5122588,2716872,5727574
10853451117,08636799,72756665,945698675,3283429,6398827
20144829394,69856153,61863743,5622986,5946356,932287722
20196113135,10697152,93174745,5517687,978131549,993637252
20241697329,42602894,30041838,919434478,2295189,3911149
10684191286,87376756,73847681,5946543,2686626,921188692
20732351549,87601164,94461096,4474382,932366483,961242665
20434789716,84862981,97262294,3611488,977137681,6355427
20621263998,38768145,22679114,992768485,999682151,965869486
10543587116,78125145,53386032,938451218,2752272,911328872
20699814882,48687627,37341244,6778911,948368213,993189533
20625313242,77556897,15573911,926611284,4368739,4697397
20917842684,90148194,10271561,6485284,6785416,4546446
